51,K1.0,0.48,0.86,0.46,0.82,1.46,1.8,1.89,2.02,1.78,1.68,0.67,1.05,4965.00,5032.50
52,K2.0,0.67,0.92,0.5,0.89,1.6,1.94,2.06,2.21,1.97,1.84,0.73,1.14,4830.00,4897.50
53,K3.0,0.73,0.95,0.55,0.97,1.73,2.09,2.23,2.4,2.17,2.01,0.8,1.25,4676.67,4753.33
54,K4.0,1,1,0.6,1.04,1.84,2.22,2.38,2.57,2.36,2.15,0.86,1.34,4523.33,4600.00
55,K5.0,1.06,1.15,0.68,1.2,2.04,2.46,2.66,2.87,2.71,2.44,0.97,1.54,4370.00,4446.67
57,K7.0,1.21,1.33,0.62,1.45,2.3,2.78,3.01,3.25,3.21,2.83,1.13,1.86,4090.00,4160.00
60,M0.0,1.23,1.37,0.7,1.67,2.49,3.04,3.29,3.54,3.65,3.16,1.26,2.15,3670.00,3740.00
61,M1.0,1.18,1.47,0.76,1.84,2.61,3.22,3.47,3.72,3.95,3.39,1.36,2.36,3535.00,3602.50
62,M2.0,1.15,1.47,0.83,2.06,2.74,3.42,3.67,3.92,4.31,3.66,1.46,2.62,3400.00,3467.50
63,M3.0,1.17,1.5,0.89,2.24,2.84,3.58,3.83,4.08,4.62,3.89,1.56,2.84,3300.00,3350.00
64,M4.0,1.07,1.52,0.94,2.43,2.93,3.74,3.98,4.22,4.93,4.11,1.65,3.07,3200.00,3250.00
